## Pinout 
This table shows the pin-to-pin instantation of the Xilinx VCU128 banks to the Mezzanine modules through the FMCP connector.

**Table 1 - VCU128 to Mezzanine pinout**
| Bank ID    | FPGA Host signal name  | Mezzanine signal name |  FMCP Pin   | Description                     | 
| ---------- | ---------------------- | ----------------------|-------------|---------------------------------|
| Bank 129   | FMCP_HSPC_DP20_C2M_P   | QSFP1_TX1_P           |  Z8         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP20_C2M_N   | QSFP1_TX1_N           |  Z9         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP20_M2C_P   | QSFP1_RX1_P           |  M14        |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP20_M2C_N   | QSFP1_RX1_N           |  M15        |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP21_C2M_P   | QSFP1_TX2_P           |  Y6         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP21_C2M_N   | QSFP1_TX2_N           |  Y7         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP21_M2C_P   | QSFP1_RX2_P           |  M10        |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP21_M2C_N   | QSFP1_RX2_N           |  M11        |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP22_C2M_P   | QSFP1_TX3_P           |  Z4         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP22_C2M_N   | QSFP1_TX3_N           |  Z5         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP22_M2C_P   | QSFP1_RX3_P           |  M6         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP22_M2C_N   | QSFP1_RX3_N           |  M7         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP23_C2M_P   | QSFP1_TX4_P           |  Y2         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP23_C2M_N   | QSFP1_TX4_N           |  Y3         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP23_M2C_P   | QSFP1_RX4_P           |  M2         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_DP23_M2C_N   | QSFP1_RX4_N           |  M3         |multi-gigabit transceiver data   |
| Bank 129   | FMCP_HSPC_GBTCLK5_M2C_P| Si2870_CLOCK1_P       |  Z20        |clock signal for transceiver data|
| Bank 129   | FMCP_HSPC_GBTCLK5_M2C_N| Si2870_CLOCK1_N       |  Z21        |clock signal for transceiver data|
| Bank 72    | FMCP_HSPC_LA00_CC_P    | QSFP1_REFCLOCK_P      |  G6         |user clock capable (CC) signal   |
| Bank 72    | FMCP_HSPC_LA00_CC_N    | QSFP1_REFCLOCK_N      |  G7         |user clock capable (CC) signal   |
| Bank 72    | FMCP_HSPC_LA10_P       | QSFP1_MODSELL_LS      |  C14        |single-ended signal I/O          | 
| Bank 72    | FMCP_HSPC_LA11_N       | QSFP1_RESETL_LS       |  H17        |single-ended signal I/O          | 
| Bank 72    | FMCP_HSPC_LA11_P       | QSFP1_MODPRSL_LS      |  H16        |single-ended signal I/O          | 
| Bank 72    | FMCP_HSPC_LA04_N       | QSFP1_INT_LS          |  H11        |single-ended signal I/O          | 
| Bank 72    | FMCP_HSPC_LA04_P       | QSFP1_LPMODE_LS       |  H10        |single-ended signal I/O          | 
| -          | -                      | -                     |  -          | -                               |
| Bank 128   | FMCP_HSPC_DP16_C2M_P   | QSFP2_TX1_P           |  M26        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP16_C2M_N   | QSFP2_TX1_N           |  M27        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP16_M2C_P   | QSFP2_RX1_P           |  Z32        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP16_M2C_N   | QSFP2_RX1_N           |  Z33        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP17_C2M_P   | QSFP2_TX2_P           |  M30        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP17_C2M_N   | QSFP2_TX2_N           |  M31        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP17_M2C_P   | QSFP2_RX2_P           |  Y34        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP17_M2C_N   | QSFP2_RX2_N           |  Y35        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP18_C2M_P   | QSFP2_TX3_P           |  M34        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP18_C2M_N   | QSFP2_TX3_N           |  M35        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP18_M2C_P   | QSFP2_RX3_P           |  Z36        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP18_M2C_N   | QSFP2_RX3_N           |  Z37        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP19_C2M_P   | QSFP2_TX4_P           |  M38        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP19_C2M_N   | QSFP2_TX4_N           |  M39        |multi-gigabit transceiver data   |
| Bank 128   | FMCP_HSPC_DP19_M2C_P   | QSFP2_RX4_P           |  Y38        |multi-gigabit transceiver data   |
